geometryKey,sizeLabel,stabilityIndex,agilityIndex,comfortIndex,aggressionIndex,handlingIndex,stabilityZIndex,agilityZIndex,comfortZIndex,aggressionZIndex,handlingZIndex
SuperX,46,58.31236340329532,39.9497987761477,55.4727694805468,26.479733020744412,54.67588361328068,0.6750907505865731,0.012777161191730599,0.11986116020987501,-3.5648677786364463E-4,0.3740759289012222
SuperX,51,55.62278548143125,42.971997404974346,58.71088866482099,26.4959326202583,53.730127983921506,0.5822203207464804,0.11753458127805734,0.26381242375936825,2.891372309743595E-4,0.3502294766323846
SuperX,54,66.45308235716666,32.09532627049243,60.17274225367605,21.40524795598929,54.35433271924809,0.9561876700353453,-0.25947968783969266,0.32879942987761723,-0.2025966339794835,0.3659682869179055
SuperX,56,74.98242405352849,22.56192630371473,59.50439213219634,15.772557215132718,56.61984119471338,1.2507036322444454,-0.5899326156005793,0.2990877858628747,-0.4270836883377775,0.4230912244376483
SuperX,58,82.60172296444239,14.784919523803294,59.91093019489746,12.72889002353333,55.12811108256008,1.5137960525028258,-0.8595042971196378,0.3171605202115667,-0.5483869719235587,0.3854784735185192
SuperX,61,89.29850937375627,9.169126473982361,62.94421303485023,11.742434770255187,54.12770959482044,1.745034354737708,-1.0541625786854552,0.4520057413617782,-0.5877014743972023,0.36025417076367205
SuperSix EVO,44,21.311370747127565,77.86537825456739,37.30578745379084,53.06707130524768,55.41182718282654,-0.6025439535631434,1.3270317073197588,-0.6877558139684938,1.0592637780847514,0.3926321422177889
SuperSix EVO,48,30.34715104145934,65.48745512369943,41.22353107140508,41.92077576896751,52.44756346400949,-0.2905407975833252,0.8979800623191714,-0.5135917045195881,0.6150357586415918,0.3178906645160779
SuperSix EVO,50,37.53654248847027,56.81232151693758,36.70773066502301,37.35101461478933,55.63304201701932,-0.042292970835164034,0.5972769229290937,-0.7143425532199644,0.4329110392456862,0.398209892770869
SuperSix EVO,52,41.065267324920136,50.8070851280405,34.0005302815539,33.14896323513131,54.74452733922411,0.07955298487575291,0.3891195023317492,-0.8346917107724838,0.2654411425514852,0.37580672413357435
SuperSix EVO,54,45.570305260224394,45.12006478307197,30.238083643643314,30.47178307806957,54.627568159680315,0.23511077931498559,0.19199229380387872,-1.0019520606061385,0.1587439501979294,0.37285769437809363
SuperSix EVO,56,29.43861434793524,72.53874976126636,39.24193500389748,43.95225471446816,80.0305920132349,-0.32191233456954527,1.1423966362181701,-0.6016839709030329,0.6959989688456341,1.013374099465082
SuperSix EVO,58,33.615495441559716,66.78165624402904,22.146891625935446,48.481567937227524,78.11218551085466,-0.17768571097835628,0.9428405056882421,-1.3616476889286304,0.8765116634745427,0.9650030534241145
SuperSix EVO,61,20.62536144565247,82.6045047995256,23.727978440479273,58.21646804843586,100.0,-0.626231677270415,1.491302402692682,-1.291360144899876,1.26448947922536,1.516886338367634
SuperSlice,XS,20.541237170491524,83.59572881672977,14.614491819421401,76.13753267282033,64.23257015481406,-0.6291364667285202,1.52566085609792,-1.6965020929831538,1.9787213079518393,0.6150399394620998
SuperSlice,SM,42.345850977118346,59.581559497204395,24.92763844130021,61.73228064293904,56.87207752705565,0.12377120709532613,0.6932660560227214,-1.2380290094102884,1.404609796375204,0.42945115661562794
SuperSlice,MD,56.285392239587665,46.027617492599326,24.8648610837237,59.92130759939792,52.19808146380998,0.6050999606872662,0.22345047776823102,-1.2408197899316862,1.332434698758359,0.31160018056334365
SuperSlice,LG,66.0955948078742,35.797983996158464,27.484242961648274,54.32159090435006,48.42318094722856,0.9438437174413776,-0.1311357507126774,-1.124374622355063,1.1092618025448007,0.21641916107603518
Synapse Neo Allroad,XS,88.3291419148721,15.73265539924909,69.69264653564886,25.340078399135013,17.068936513447433,1.7115623471607067,-0.8266532580489518,0.7520087598230755,-0.04577664576781096,-0.5741523883867297
Synapse Neo Allroad,SM,91.57720149716901,9.903368090894288,63.077063768775254,19.4302444236863,32.15067844339992,1.8237170042546644,-1.0287118168546323,0.45791164844044885,-0.2813090550428315,-0.19387863912316888
Synapse Neo Allroad,MD,76.78512242031637,26.24707821298225,67.70535119636321,27.137553916781172,27.315576866372947,1.3129503404861576,-0.46219547649965054,0.6636631311243257,0.02586051714452283,-0.3157917585297938
Synapse Neo Allroad,LG,84.96825158385445,17.819138312656577,74.14501883293326,23.882189180370432,23.764902685303564,1.5955116735030743,-0.7543302264063788,0.9499398987074864,-0.10387982795164347,-0.40531909492898077
Synapse Neo Allroad,XL,78.33106124951503,33.76212595264248,100.0,39.85325725743229,1.1096461211287507,1.3663312083193764,-0.2017039900952528,2.099328477769884,0.5326362160714266,-0.9765528021625455
Topstone Alloy,XS,69.20602016880379,29.791717277284068,52.7296670740372,27.7441092439244,37.34608247542261,1.051245900477908,-0.3393288852797229,-0.002084029263198922,0.050034366723739405,-0.06288078891645073
Topstone Alloy,SM,72.36485117596938,25.258999316551982,52.801565164594855,22.185143539635526,43.85792761865562,1.1603195179562822,-0.4964449116772338,0.0011122153447307576,-0.17151442649916268,0.10131004386281875
Topstone Alloy,MD,82.13570882905753,14.89844151379687,58.77014681368706,14.898034172018384,44.421043779012365,1.4977047049672407,-0.8555693238583304,0.2664467571237178,-0.461937208786396,0.11550855584932046
Topstone Alloy,LG,91.33473932194191,6.049398369912669,66.205298536569,10.597541546730845,40.74703334483535,1.8153448480697643,-1.1623006290557685,0.5969779773422065,-0.6333304142996736,0.022871397016677897
Topstone Alloy,XL,83.80346702429689,21.337933851397228,95.62968795818237,25.550205134915814,12.730205856571342,1.5552919639948102,-0.6323594403257627,1.9050453446534528,-0.03740218778182501,-0.6835499222789053
Synapse,44.0,38.35286200106667,57.47091162273211,49.2890403719229,33.90368788196446,52.880622616480935,-0.01410566924951634,0.6201054027382458,-0.1550378067451399,0.2955201794832044,0.32880989575130765
Synapse,48.0,43.770120516568305,50.417485783003514,52.092628680061594,28.045309726862357,49.47603806429808,0.1729508658297323,0.3756149557198532,-0.030403703902624812,0.062038506893479145,0.2429660894883099
Synapse,51.0,49.18160881366947,45.634039757838835,52.64079352048206,25.32808621296606,50.34438255716401,0.3598081567603856,0.2098080296168541,-0.006034921618405131,-0.046254586182479435,0.2648606834608199
Synapse,54.0,28.838803055613916,65.85346746542207,54.233097822647316,35.15418185340033,41.683315175848165,-0.34262366332042077,0.91066702083768,0.06475129816163033,0.34535776529352574,0.046478975232791334
Synapse,56.0,33.008088096057975,61.28853825114893,57.23803415329372,31.67018214087746,40.35743960262555,-0.19865932948042975,0.7524344669603004,0.19833636932981336,0.2065053288946362,0.01304811044090673
Synapse,58.0,38.036846870339104,56.37268435281112,61.088284775115994,30.576597219599844,33.63937568250431,-0.02501758995947717,0.5820379327950015,0.3695000635771485,0.16292124644402967,-0.15634235960971063
Synapse,61.0,59.46401425904546,38.66331348869822,66.32765574642826,31.163579808498476,25.00024388918226,0.7148569567000955,-0.03181583094543611,0.6024173926204243,0.18631503786695813,-0.37417097998307053
Topstone Carbon,47.0,64.67755499028387,35.014779170181235,73.80804059824648,14.962469420025842,50.67678144571916,0.8948791693911369,-0.1582837072321296,0.9349594610177864,-0.45936918584895337,0.2732418487260117
Topstone Carbon,51.0,63.953899890003804,34.13715676373949,65.62496159883668,17.93440278589354,53.58256205856319,0.8698915459902108,-0.18870442750903796,0.5711789777634629,-0.34092480504644673,0.34650872289185625
Topstone Carbon,54.0,74.60426751626503,23.742056636031013,69.12438717629469,11.359894020363335,55.14296592713974,1.2376459848429682,-0.5490261682877267,0.7267466715095495,-0.6029473755244095,0.3858530262372484
Topstone Carbon,56.0,82.81258414422729,14.325528429477059,69.20253525064214,4.854005089130705,60.70677706480192,1.5210770344903786,-0.8754280108667171,0.7302207604501013,-0.8622351492274878,0.5261399593607501
Topstone Carbon,58.0,90.33693771177185,6.675325120576938,72.1243038857013,0.1988575259272613,60.17870122711282,1.7808910166048615,-1.1406043477666516,0.8601085943688264,-1.0477628858182266,0.5128249603622117
Topstone Carbon,61.0,99.06977106698348,0.0,76.63678975010102,0.0,57.945961872883224,2.082433493150142,-1.3719888210435065,1.0607120944142285,-1.0556882171183435,0.45652826934968593
Synapse Carbon,44,61.21550814436974,35.257794189610955,49.28895881730712,26.789629207949456,45.79690269924134,0.7753355874436232,-0.14986016212332615,-0.15504143227259018,0.011994214764814687,0.15019970972817742
Synapse Carbon,48,55.340065221029796,41.3929559290594,51.05720210368364,26.992461765531022,48.116118905420635,0.5724580632953978,0.06280081571798976,-0.07643380826264717,0.02007796824504217,0.20867684361448763
Synapse Carbon,51,53.999161972028155,43.28281511267867,52.64079352048206,27.661440753255967,47.69143170354892,0.5261570210030623,0.12830834739179942,-0.006034921618405131,0.04673967031447432,0.19796870424503774
Synapse Carbon,54,60.162071293586486,35.466612395097705,54.233097822647316,21.973015335713747,47.48049148078566,0.7389606855133489,-0.14262196928411433,0.06475129816163033,-0.17996865163517187,0.19265001958956252
Synapse Carbon,56,69.62405645921444,25.285566773243794,57.23803415329372,17.210299540978284,40.86809531718697,1.0656805854385465,-0.4955240131648915,0.19833636932981336,-0.3697834468538591,0.025923875326757106
Synapse Carbon,58,76.20414115902686,19.25594850153711,61.088284775115994,15.963986703659078,36.7921350726711,1.292889207835425,-0.7045265744871436,0.3695000635771485,-0.4194543964107611,-0.07684811820225262
Synapse Carbon,61,92.15153361101223,4.63640909864111,66.32765574642826,20.783135647580966,4.487309215727559,1.843548543564231,-1.211278584791767,0.6024173926204243,-0.227390496454771,-0.8913877983653815
CAAD13,44,19.13135762945281,79.76291544076321,44.40418440454961,48.73224988325725,58.76824717312379,-0.6778192425405218,1.3928053789268158,-0.37219509736484285,0.886502421752257,0.4772615185684503
CAAD13,48,29.806188128528998,66.29578807970337,47.98174459315151,38.526632811907795,53.558801847688244,-0.3092201070180821,0.9259990264713068,-0.21315391318772664,0.4797645020511021,0.34590962866821334
CAAD13,51,37.340912022273,57.38997402737297,47.04091636939169,33.443761476022985,56.27025578953159,-0.04904804022276754,0.6172998910167653,-0.25497862805646226,0.2771901257235515,0.4142767152560342
CAAD13,54,42.51324669759215,50.29360760265049,48.308901816312606,28.613630206867423,53.131224494702586,0.12955133801751195,0.3713210094335336,-0.19861007061327868,0.08468853267288654,0.33512861650958975
CAAD13,56,24.906655060539144,78.25310523676303,48.93833689172216,43.16145861365828,83.29810551731491,-0.47839971633187467,1.3404713528696084,-0.17062840308615057,0.664482328675569,1.0957617717072463
CAAD13,58,31.78849153128349,71.50469830820016,54.43980260154536,39.989996004563636,77.24683416429275,-0.24077168334880403,1.1065536702971015,0.0739404022096217,0.538085845737317,0.9431839291799959
CAAD13,60,37.105893295795646,65.15251244898586,51.61997543048573,42.735174248955246,73.90043681784313,-0.05716317604798138,0.8863700608635653,-0.05141560267017092,0.647493055563687,0.8588072655710834
CAAD13,62,23.34615533403203,81.62457333516205,51.881543289532296,53.404731513977886,96.95610958187004,-0.5322833681822066,1.4573353791195172,-0.03978754895412895,1.0727209958016828,1.44013713877081
CAAD Optimo,44,35.76750474558023,65.4559070322963,44.115455312476385,42.95893583088242,69.46147030121949,-0.10337738644178818,0.8968865217978709,-0.38503060935874583,0.6564109210593069,0.746882366711791
CAAD Optimo,48,29.192358998874912,73.16125319753678,47.84368771630111,44.445258693060275,69.43965942585065,-0.33041546806560096,1.1639742563509274,-0.2192912604357296,0.7156473067418195,0.7463324233836433
CAAD Optimo,51,21.104390128743063,81.57928225935252,46.452619887649576,48.22228022853728,71.42189350657495,-0.6096909407694536,1.4557654703089298,-0.281131470823885,0.866177928385381,0.7963128294465528
CAAD Optimo,54,25.76449846724494,75.06681071665572,46.73176163718854,44.360838031285255,67.55398757855808,-0.4487786054249854,1.2300259339689874,-0.26872216614149513,0.7122827787460981,0.6987867548142468
CAAD Optimo,56,31.741957162000052,68.05213536630058,47.039299840626526,40.87316692584875,64.99797869887769,-0.24237850308158038,0.9868786816880707,-0.2550504911797961,0.5732840214823692,0.6343390879372098
CAAD Optimo,58,38.052957617280484,61.758619787803504,53.54097156776575,37.32209288571633,58.76523125076372,-0.024461290035489885,0.7687287397921521,0.03398268117870949,0.4317583834253599,0.4771854745604916
Synapse Neo,XS,88.3291419148721,15.73265539924909,69.69264653564886,25.340078399135013,17.068936513447433,1.7115623471607067,-0.8266532580489518,0.7520087598230755,-0.04577664576781096,-0.5741523883867297
Synapse Neo,SM,91.57720149716901,9.903368090894288,63.077063768775254,19.4302444236863,32.15067844339992,1.8237170042546644,-1.0287118168546323,0.45791164844044885,-0.2813090550428315,-0.19387863912316888
Synapse Neo,MD,76.78512242031637,26.24707821298225,67.70535119636321,27.137553916781172,27.315576866372947,1.3129503404861576,-0.46219547649965054,0.6636631311243257,0.02586051714452283,-0.3157917585297938
Synapse Neo,LG,84.96825158385445,17.819138312656577,74.14501883293326,23.882189180370432,23.764902685303564,1.5955116735030743,-0.7543302264063788,0.9499398987074864,-0.10387982795164347,-0.40531909492898077
Synapse Neo,XL,78.33106124951503,33.76212595264248,100.0,39.85325725743229,1.1096461211287507,1.3663312083193764,-0.2017039900952528,2.099328477769884,0.5326362160714266,-0.9765528021625455
