id,brand,model,discipline,modelYear,priceText,productUrl,geometryKey
cannondale_superx,Cannondale,SuperX LAB71,,,16499.0,https://www.cannondale.com/en-us/bikes/road/gravel/superx/superx-lab71/2025,SuperX
cannondale_superx,Cannondale,SuperX 2,,,6499.0,https://www.cannondale.com/en-us/bikes/road/gravel/superx/superx-2,SuperX
cannondale_superx,Cannondale,SuperX 3,,,4599.0,https://www.cannondale.com/en-us/bikes/road/gravel/superx/superx-3/2025,SuperX
cannondale_superx,Cannondale,SuperX 1,,,8799.0,https://www.cannondale.com/en-us/bikes/road/gravel/superx/superx-1/2025,SuperX
cannondale_synapse,Cannondale,Synapse 2,,,1800.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse/synapse-2/2023,Synapse
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 AXS SmartSense,,,4699.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-axs-smartsense,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 4 CUES 1x,,,2899.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-4-cues-1x,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 Lefty,,,3600.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-lefty,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 3 GRX - 1x,,,3099.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-3-grx-1x,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon LTD Lefty AXS,,,7999.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-ltd-lefty-axs,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon LTD Di2,,,6499.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-ltd-di2,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 1 Lefty AXS,,,6499.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-1-lefty-axs,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 1 AXS,,,5499.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-1-axs,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 GRX - 2x,,,4399.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-grx-2x,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 AXS - 1x,,,4199.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-axs-1x,Topstone Carbon
cannondale_synapse,Cannondale,Synapse 1,,,2099.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse/synapse-1,Synapse
cannondale_synapse_carbon,Cannondale,Synapse Carbon 2,,,6499.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2,Synapse Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 3 L,,,3325.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-3-l,Topstone Carbon
cannondale_topstone_carbon,Cannondale,Topstone Carbon 2 Lefty,,,3830.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-carbon/topstone-carbon-2-lefty/2022,Topstone Carbon
